ID,context_id,context_title,context_length,context,question type,question,A,B,C,D,E,answer
238,29,Menjelang Kelahiran Islam di Hijaz (4),1796,"Ketiga, hegemoni Arab Islam. Setelah Islam lahir, bangsa Arab menjelma menjadi bangsa yang hebat, kuat dan tangguh dalam peradaban. Bangsa Arab di era Islam, memiliki semangat yang membara untuk menaklukan dunia. Hal ini dapat dianalisis sebagai sebuah era transisi dari masa jahiliyah ke masa keemasan. Bangsa Arab sebelum Islam, hidup dalam ambang batas kesengsaraan dan ketidakmampuan untuk mengolah sumber-sumber pokok kehidupan. Banyak terjadi peperangan, permusuhan dan jauh dari nilai-nilai kemanusiaan. Hal inilah yang menyebabkan bangsa Arab stagnan pada peradaban. Islam datang dengan membawa semangat baru, ide baru, konsep baru, serta pengetahuan baru. Islam adalah agama yang damai, Islam mengajarkan tentang persatuan dan kesatuan. Islam adalah agama yang menjauhi permusushan dan menerapkan konsep masyarakat yang berkeadilan. Atas dasar inilah bangsa Arab bisa maju dan berkembang dibawah kendali Islam. Bangsa Arab mencapai sebuah peradaban hebat dengan menguasai tiga benua dilatarbelakangi oleh beberapa hal. Pertama, sebelum Islam datang bangsa Arab dikenal sebagai bangsa yang kuat dan memiliki watak yang keras. Dengan kultur seperti itu, bangsa Arab diyakini mampu untuk melawan dan menaklukan dunia. Kedua, solidaritas dan loyalitas yang tinggi terhadap kelompok atau kaum. Ketiga konsep dan pengetahuan yang terdapat dalam Islam sebagai acuan. Dalam perkembangannya, bangsa Arab Islam mampu menjadi sebuah peradaban baru yang kuat dan mapan. Bukan hanya dibidang politik, tapi juga merambah pada bidang ilmu pengetahuan dan seni. Kejayaan Arab Islam terjadi ketika berada dibawah kekuasaan Dinasti Umayyah, kemudian dilanjut Dinasti Abbasiyah. Dari dua dinasti inilah kekuasaan Arab Islam mampu mencapai puncak kejayaan, yang kekuasaannya meliputi Eropa, Afrika dan Asia.",who,"Setelah terjadi banyak perang, sesuatu datang untuk membawa semangat, ide, konsep, serta pengetahuan baru, siapakah itu?",Renaisans,Ilmu Pengetahuan Modern,Islam,Kekaisaran Mongol,Humanisme,C
239,29,Menjelang Kelahiran Islam di Hijaz (4),1796,"Ketiga, hegemoni Arab Islam. Setelah Islam lahir, bangsa Arab menjelma menjadi bangsa yang hebat, kuat dan tangguh dalam peradaban. Bangsa Arab di era Islam, memiliki semangat yang membara untuk menaklukan dunia. Hal ini dapat dianalisis sebagai sebuah era transisi dari masa jahiliyah ke masa keemasan. Bangsa Arab sebelum Islam, hidup dalam ambang batas kesengsaraan dan ketidakmampuan untuk mengolah sumber-sumber pokok kehidupan. Banyak terjadi peperangan, permusuhan dan jauh dari nilai-nilai kemanusiaan. Hal inilah yang menyebabkan bangsa Arab stagnan pada peradaban. Islam datang dengan membawa semangat baru, ide baru, konsep baru, serta pengetahuan baru. Islam adalah agama yang damai, Islam mengajarkan tentang persatuan dan kesatuan. Islam adalah agama yang menjauhi permusushan dan menerapkan konsep masyarakat yang berkeadilan. Atas dasar inilah bangsa Arab bisa maju dan berkembang dibawah kendali Islam. Bangsa Arab mencapai sebuah peradaban hebat dengan menguasai tiga benua dilatarbelakangi oleh beberapa hal. Pertama, sebelum Islam datang bangsa Arab dikenal sebagai bangsa yang kuat dan memiliki watak yang keras. Dengan kultur seperti itu, bangsa Arab diyakini mampu untuk melawan dan menaklukan dunia. Kedua, solidaritas dan loyalitas yang tinggi terhadap kelompok atau kaum. Ketiga konsep dan pengetahuan yang terdapat dalam Islam sebagai acuan. Dalam perkembangannya, bangsa Arab Islam mampu menjadi sebuah peradaban baru yang kuat dan mapan. Bukan hanya dibidang politik, tapi juga merambah pada bidang ilmu pengetahuan dan seni. Kejayaan Arab Islam terjadi ketika berada dibawah kekuasaan Dinasti Umayyah, kemudian dilanjut Dinasti Abbasiyah. Dari dua dinasti inilah kekuasaan Arab Islam mampu mencapai puncak kejayaan, yang kekuasaannya meliputi Eropa, Afrika dan Asia.",who,Siapa pengganti Dinasti Umayyah di kekuasaan Arab Islam?,Dinasti Mamluk,Dinasti Abbasiyah,Dinasti Fatimiyah,Dinasti Ayyubiyah,Dinasti Seljuk,B
240,29,Menjelang Kelahiran Islam di Hijaz (4),1796,"Ketiga, hegemoni Arab Islam. Setelah Islam lahir, bangsa Arab menjelma menjadi bangsa yang hebat, kuat dan tangguh dalam peradaban. Bangsa Arab di era Islam, memiliki semangat yang membara untuk menaklukan dunia. Hal ini dapat dianalisis sebagai sebuah era transisi dari masa jahiliyah ke masa keemasan. Bangsa Arab sebelum Islam, hidup dalam ambang batas kesengsaraan dan ketidakmampuan untuk mengolah sumber-sumber pokok kehidupan. Banyak terjadi peperangan, permusuhan dan jauh dari nilai-nilai kemanusiaan. Hal inilah yang menyebabkan bangsa Arab stagnan pada peradaban. Islam datang dengan membawa semangat baru, ide baru, konsep baru, serta pengetahuan baru. Islam adalah agama yang damai, Islam mengajarkan tentang persatuan dan kesatuan. Islam adalah agama yang menjauhi permusushan dan menerapkan konsep masyarakat yang berkeadilan. Atas dasar inilah bangsa Arab bisa maju dan berkembang dibawah kendali Islam. Bangsa Arab mencapai sebuah peradaban hebat dengan menguasai tiga benua dilatarbelakangi oleh beberapa hal. Pertama, sebelum Islam datang bangsa Arab dikenal sebagai bangsa yang kuat dan memiliki watak yang keras. Dengan kultur seperti itu, bangsa Arab diyakini mampu untuk melawan dan menaklukan dunia. Kedua, solidaritas dan loyalitas yang tinggi terhadap kelompok atau kaum. Ketiga konsep dan pengetahuan yang terdapat dalam Islam sebagai acuan. Dalam perkembangannya, bangsa Arab Islam mampu menjadi sebuah peradaban baru yang kuat dan mapan. Bukan hanya dibidang politik, tapi juga merambah pada bidang ilmu pengetahuan dan seni. Kejayaan Arab Islam terjadi ketika berada dibawah kekuasaan Dinasti Umayyah, kemudian dilanjut Dinasti Abbasiyah. Dari dua dinasti inilah kekuasaan Arab Islam mampu mencapai puncak kejayaan, yang kekuasaannya meliputi Eropa, Afrika dan Asia.",what,Dinasti apa yang membawa kejayaan Arab Islam?,Dinasti Abbasiyah,Dinasti Ayyubiyah,Dinasti Fatimiyah,Dinasti Umayyah,Dinasti Ottoman,D
241,29,Menjelang Kelahiran Islam di Hijaz (4),1796,"Ketiga, hegemoni Arab Islam. Setelah Islam lahir, bangsa Arab menjelma menjadi bangsa yang hebat, kuat dan tangguh dalam peradaban. Bangsa Arab di era Islam, memiliki semangat yang membara untuk menaklukan dunia. Hal ini dapat dianalisis sebagai sebuah era transisi dari masa jahiliyah ke masa keemasan. Bangsa Arab sebelum Islam, hidup dalam ambang batas kesengsaraan dan ketidakmampuan untuk mengolah sumber-sumber pokok kehidupan. Banyak terjadi peperangan, permusuhan dan jauh dari nilai-nilai kemanusiaan. Hal inilah yang menyebabkan bangsa Arab stagnan pada peradaban. Islam datang dengan membawa semangat baru, ide baru, konsep baru, serta pengetahuan baru. Islam adalah agama yang damai, Islam mengajarkan tentang persatuan dan kesatuan. Islam adalah agama yang menjauhi permusushan dan menerapkan konsep masyarakat yang berkeadilan. Atas dasar inilah bangsa Arab bisa maju dan berkembang dibawah kendali Islam. Bangsa Arab mencapai sebuah peradaban hebat dengan menguasai tiga benua dilatarbelakangi oleh beberapa hal. Pertama, sebelum Islam datang bangsa Arab dikenal sebagai bangsa yang kuat dan memiliki watak yang keras. Dengan kultur seperti itu, bangsa Arab diyakini mampu untuk melawan dan menaklukan dunia. Kedua, solidaritas dan loyalitas yang tinggi terhadap kelompok atau kaum. Ketiga konsep dan pengetahuan yang terdapat dalam Islam sebagai acuan. Dalam perkembangannya, bangsa Arab Islam mampu menjadi sebuah peradaban baru yang kuat dan mapan. Bukan hanya dibidang politik, tapi juga merambah pada bidang ilmu pengetahuan dan seni. Kejayaan Arab Islam terjadi ketika berada dibawah kekuasaan Dinasti Umayyah, kemudian dilanjut Dinasti Abbasiyah. Dari dua dinasti inilah kekuasaan Arab Islam mampu mencapai puncak kejayaan, yang kekuasaannya meliputi Eropa, Afrika dan Asia.",who,Siapa yang memasuki masa keemasan dan memiliki semangat yang membara untuk menaklukan dunia dalam era Islam?,bangsa Arab,bangsa Afrika,bangsa Indonesia,tidak diketahui,bangsa Cina,A
242,30,Kebangkitan Bangsa Arab (1),1904,"Bangsa Arab merupakan bangsa yang besar dan memiliki kemampuan hebat, baik dalam bidang seni, sastra, maupun strategi perang. Maka tak heran jika bangsa Arab mampu menjadi penguasa di dunia selama berabad-abad lamanya. Namun kehebatan bangsa Arab tersebut seakan luput dari perhatian dan kajian di era modern ini. Malah yang menjadi sorotan dan perbincangan dari bangsa Arab adalah kejelekan dan kejahiliyahannya. Sungguh tidak etis jika yang diketahui dunia hanya tentang kejelekan dan kejahiliyahannya saja. Bangsa Arab juga dikenal sebagai penakluk dunia. Kekuasaannya membentang dari lautan Atlantik hingga perbatasan Cina. Ini merupakan wilayah kekuasaan terbesar dalam sejarah dunia, melebihi kekuasaan kerajaan Romawi pada masa kejayaannya. Selain menguasai wilayah, bangsa Arab juga menguasai ajaran, bahasa, literatur, dan sejarah warisan dari penguasa terdahulunya, seperti Romawi, Persia, dan Yunani. Banyak buku-buku atau literatur yang dialihbahasakan ke dalam bahasa Arab. Hal inilah yang menjadikan bangsa Arab mampu bertahan menjadi penguasa dunia, hingga berabad-abad lamanya. Bangsa Arab bukan hanya membangun kerajaan, mereka juga membangun peradaban dan kebudayaan. Mereka menyerap beberapa unsur kebudayaan Romawi, Persia dan Yunani. Mereka juga sebagai pembawa gerakan intelektual ke Eropa pada abad pertengahan yang memicu kebangkitan dunia Barat pada waktu itu. Gerakan intelektual tersebut memberikan kontribusi yang sangat besar bagi manusia. Tidak ada gerakan besar lain yang bisa memberikan kontribusi besar bagi kehidupan manusia di dunia selain bangsa Arab. Setidaknya ada beberapa tahapan sebelum bangsa Arab mampu menjadi penakluk dunia. Tahapan-tahapan tersebut dilalui secara perlahan dan struktural.. Sederhananya, bangsa Arab mampu membaur dengan bangsa lain, termasuk penguasa, sehingga mempermudah mereka mendirikan kerajaan-kerajaan kecil dibawah naungan penguasa. ",what,Apa saja yang dikuasai oleh Bangsa Arab selain wilayah setelah Islam hadir?,ilmu sihir,musik dan tarian,keahlian majusi,"bahasa, literatur, dan sejarah",doktrin-doktrinnya jahiliyah,D
243,30,Kebangkitan Bangsa Arab (1),1904,"Bangsa Arab merupakan bangsa yang besar dan memiliki kemampuan hebat, baik dalam bidang seni, sastra, maupun strategi perang. Maka tak heran jika bangsa Arab mampu menjadi penguasa di dunia selama berabad-abad lamanya. Namun kehebatan bangsa Arab tersebut seakan luput dari perhatian dan kajian di era modern ini. Malah yang menjadi sorotan dan perbincangan dari bangsa Arab adalah kejelekan dan kejahiliyahannya. Sungguh tidak etis jika yang diketahui dunia hanya tentang kejelekan dan kejahiliyahannya saja. Bangsa Arab juga dikenal sebagai penakluk dunia. Kekuasaannya membentang dari lautan Atlantik hingga perbatasan Cina. Ini merupakan wilayah kekuasaan terbesar dalam sejarah dunia, melebihi kekuasaan kerajaan Romawi pada masa kejayaannya. Selain menguasai wilayah, bangsa Arab juga menguasai ajaran, bahasa, literatur, dan sejarah warisan dari penguasa terdahulunya, seperti Romawi, Persia, dan Yunani. Banyak buku-buku atau literatur yang dialihbahasakan ke dalam bahasa Arab. Hal inilah yang menjadikan bangsa Arab mampu bertahan menjadi penguasa dunia, hingga berabad-abad lamanya. Bangsa Arab bukan hanya membangun kerajaan, mereka juga membangun peradaban dan kebudayaan. Mereka menyerap beberapa unsur kebudayaan Romawi, Persia dan Yunani. Mereka juga sebagai pembawa gerakan intelektual ke Eropa pada abad pertengahan yang memicu kebangkitan dunia Barat pada waktu itu. Gerakan intelektual tersebut memberikan kontribusi yang sangat besar bagi manusia. Tidak ada gerakan besar lain yang bisa memberikan kontribusi besar bagi kehidupan manusia di dunia selain bangsa Arab. Setidaknya ada beberapa tahapan sebelum bangsa Arab mampu menjadi penakluk dunia. Tahapan-tahapan tersebut dilalui secara perlahan dan struktural.. Sederhananya, bangsa Arab mampu membaur dengan bangsa lain, termasuk penguasa, sehingga mempermudah mereka mendirikan kerajaan-kerajaan kecil dibawah naungan penguasa. ",what,Apa yang membuat Bangsa Arab dikenal sebagai penakluk dunia setalah kebangkitan Islam?,Tidak ada hal khusus,Peradaban jahiliyahnya,Tidak pernah terjadi dalam sejarah,Kemampuan mencampur adukkan agama,Kekuasaannya membentang dari lautan Atlantik hingga perbatasan Cina,E
244,31,Kebangkitan Bangsa Arab (2),1979,"Seperti yang sudah disinggung pada pembahasan sebelumnya, bahwa bangsa Arab terdiri dari beberapa klan atau kabilah, Dimana antara satu kabilah dengan kabilah lain saling bermusuhan. Bangsa Arab memiliki watak yang keras dan susah untuk diatur. Selain itu, nampaknya faktor geografis juga turut memengaruhi bangsa Arab yang hidup dalam kejumudan. Seperti diketahui dalam literatur sejarah, bahwa Jazirah Arab—tempat bangsa Arab tinggal merupakan tanah yang tandus dan gersang. Keadaan seperti itu memaksa bangsa Arab untuk hidup kasar dan keras. Ali (1968) mengungkapkan enam hal yang perlu diperhatikan dalam melihat konteks sejarah bangsa Arab. Pertama, penyebab minimnya angin sejuk di Jazirah Arab. Kedua, tidak adanya asosiasi peradaban dan pemerintahan yang berkembang menjadi asosiasi yang besar. Ketiga, besarnya dominasi karakter Badui pada penduduk Jazirah Arab. Keempat, semangat individualisme yang tinggi pada pribadi penduduknya. Kelima, adanya permusuhan antara kabilah satu dengan kabilah lainnya. Keenam ketidakmauan penduduknya untuk memilih bidang pertanian dan kerajinan. Jika dianalisis, keenam komponen tersebut merupakan faktor yang menyebabkan bangsa Arab tidak bisa berkembang dengan peradabannya sendiri. Dalam hal ini, bangsa Arab memerlukan dukungan kuat dari pihak luar untuk membangun dan mengembangkan pemerintahannya. Bangsa Arab membutuhkan teknologi untuk mengolah sumber daya alamnya yang tandus dan gersang. Mereka membutuhkan tanah yang subur dengan berbagai tumbuh-tumbuhan dan buah-buahan. Namun hal itu tidak bisa mereka realisasikan sendiri, melainkan harus dengan bantuan dari bangsa lain yang lebih maju peradabannya, seperti Romawi dan Persia. Faktor geografis nampaknya menjadi salah satu kendala bangsa Arab untuk maju. Namun sebenarnya, tidak semua tanah yang berada di Jazirah Arab itu tandus, ada sebagian tanah yang subur dan melimpah sumber airnya, seperti di kawasan lembah al-Ramah yang berada di wilayah dataran tinggi Najd.",what,Faktor-faktor apa yang menyebabkan bangsa Arab hidup dalam kejumudan dan sulit untuk berkembang?,pemimpin yang efektif dan adil,kerja sama antar suku dan klan,tanah yang tandus dan gersang,sumber daya alam yang memadai,perkembangan teknologi,C
245,31,Kebangkitan Bangsa Arab (2),1979,"Seperti yang sudah disinggung pada pembahasan sebelumnya, bahwa bangsa Arab terdiri dari beberapa klan atau kabilah, Dimana antara satu kabilah dengan kabilah lain saling bermusuhan. Bangsa Arab memiliki watak yang keras dan susah untuk diatur. Selain itu, nampaknya faktor geografis juga turut memengaruhi bangsa Arab yang hidup dalam kejumudan. Seperti diketahui dalam literatur sejarah, bahwa Jazirah Arab—tempat bangsa Arab tinggal merupakan tanah yang tandus dan gersang. Keadaan seperti itu memaksa bangsa Arab untuk hidup kasar dan keras. Ali (1968) mengungkapkan enam hal yang perlu diperhatikan dalam melihat konteks sejarah bangsa Arab. Pertama, penyebab minimnya angin sejuk di Jazirah Arab. Kedua, tidak adanya asosiasi peradaban dan pemerintahan yang berkembang menjadi asosiasi yang besar. Ketiga, besarnya dominasi karakter Badui pada penduduk Jazirah Arab. Keempat, semangat individualisme yang tinggi pada pribadi penduduknya. Kelima, adanya permusuhan antara kabilah satu dengan kabilah lainnya. Keenam ketidakmauan penduduknya untuk memilih bidang pertanian dan kerajinan. Jika dianalisis, keenam komponen tersebut merupakan faktor yang menyebabkan bangsa Arab tidak bisa berkembang dengan peradabannya sendiri. Dalam hal ini, bangsa Arab memerlukan dukungan kuat dari pihak luar untuk membangun dan mengembangkan pemerintahannya. Bangsa Arab membutuhkan teknologi untuk mengolah sumber daya alamnya yang tandus dan gersang. Mereka membutuhkan tanah yang subur dengan berbagai tumbuh-tumbuhan dan buah-buahan. Namun hal itu tidak bisa mereka realisasikan sendiri, melainkan harus dengan bantuan dari bangsa lain yang lebih maju peradabannya, seperti Romawi dan Persia. Faktor geografis nampaknya menjadi salah satu kendala bangsa Arab untuk maju. Namun sebenarnya, tidak semua tanah yang berada di Jazirah Arab itu tandus, ada sebagian tanah yang subur dan melimpah sumber airnya, seperti di kawasan lembah al-Ramah yang berada di wilayah dataran tinggi Najd.",where,"Di Jazirah Arab terdapat tempat yang subur, pada wilayah daerah mana lokasi dari lembah al-Rahmah berada?",dataran tinggi Najd,bumi Syam,dekat Buhairah al-Wahbah,daerah Asir,dataran tinggi Hijaz,A
246,31,Kebangkitan Bangsa Arab (2),1979,"Seperti yang sudah disinggung pada pembahasan sebelumnya, bahwa bangsa Arab terdiri dari beberapa klan atau kabilah, Dimana antara satu kabilah dengan kabilah lain saling bermusuhan. Bangsa Arab memiliki watak yang keras dan susah untuk diatur. Selain itu, nampaknya faktor geografis juga turut memengaruhi bangsa Arab yang hidup dalam kejumudan. Seperti diketahui dalam literatur sejarah, bahwa Jazirah Arab—tempat bangsa Arab tinggal merupakan tanah yang tandus dan gersang. Keadaan seperti itu memaksa bangsa Arab untuk hidup kasar dan keras. Ali (1968) mengungkapkan enam hal yang perlu diperhatikan dalam melihat konteks sejarah bangsa Arab. Pertama, penyebab minimnya angin sejuk di Jazirah Arab. Kedua, tidak adanya asosiasi peradaban dan pemerintahan yang berkembang menjadi asosiasi yang besar. Ketiga, besarnya dominasi karakter Badui pada penduduk Jazirah Arab. Keempat, semangat individualisme yang tinggi pada pribadi penduduknya. Kelima, adanya permusuhan antara kabilah satu dengan kabilah lainnya. Keenam ketidakmauan penduduknya untuk memilih bidang pertanian dan kerajinan. Jika dianalisis, keenam komponen tersebut merupakan faktor yang menyebabkan bangsa Arab tidak bisa berkembang dengan peradabannya sendiri. Dalam hal ini, bangsa Arab memerlukan dukungan kuat dari pihak luar untuk membangun dan mengembangkan pemerintahannya. Bangsa Arab membutuhkan teknologi untuk mengolah sumber daya alamnya yang tandus dan gersang. Mereka membutuhkan tanah yang subur dengan berbagai tumbuh-tumbuhan dan buah-buahan. Namun hal itu tidak bisa mereka realisasikan sendiri, melainkan harus dengan bantuan dari bangsa lain yang lebih maju peradabannya, seperti Romawi dan Persia. Faktor geografis nampaknya menjadi salah satu kendala bangsa Arab untuk maju. Namun sebenarnya, tidak semua tanah yang berada di Jazirah Arab itu tandus, ada sebagian tanah yang subur dan melimpah sumber airnya, seperti di kawasan lembah al-Ramah yang berada di wilayah dataran tinggi Najd.",who,"Pada masa peradaban yang tidak berkembang di bangsa Arab, karakter dari kaum apa yang mendominasi?",Saba,Badui,Muslim,Qahtani,Bani Quraisy,B
247,31,Kebangkitan Bangsa Arab (2),1979,"Seperti yang sudah disinggung pada pembahasan sebelumnya, bahwa bangsa Arab terdiri dari beberapa klan atau kabilah, Dimana antara satu kabilah dengan kabilah lain saling bermusuhan. Bangsa Arab memiliki watak yang keras dan susah untuk diatur. Selain itu, nampaknya faktor geografis juga turut memengaruhi bangsa Arab yang hidup dalam kejumudan. Seperti diketahui dalam literatur sejarah, bahwa Jazirah Arab—tempat bangsa Arab tinggal merupakan tanah yang tandus dan gersang. Keadaan seperti itu memaksa bangsa Arab untuk hidup kasar dan keras. Ali (1968) mengungkapkan enam hal yang perlu diperhatikan dalam melihat konteks sejarah bangsa Arab. Pertama, penyebab minimnya angin sejuk di Jazirah Arab. Kedua, tidak adanya asosiasi peradaban dan pemerintahan yang berkembang menjadi asosiasi yang besar. Ketiga, besarnya dominasi karakter Badui pada penduduk Jazirah Arab. Keempat, semangat individualisme yang tinggi pada pribadi penduduknya. Kelima, adanya permusuhan antara kabilah satu dengan kabilah lainnya. Keenam ketidakmauan penduduknya untuk memilih bidang pertanian dan kerajinan. Jika dianalisis, keenam komponen tersebut merupakan faktor yang menyebabkan bangsa Arab tidak bisa berkembang dengan peradabannya sendiri. Dalam hal ini, bangsa Arab memerlukan dukungan kuat dari pihak luar untuk membangun dan mengembangkan pemerintahannya. Bangsa Arab membutuhkan teknologi untuk mengolah sumber daya alamnya yang tandus dan gersang. Mereka membutuhkan tanah yang subur dengan berbagai tumbuh-tumbuhan dan buah-buahan. Namun hal itu tidak bisa mereka realisasikan sendiri, melainkan harus dengan bantuan dari bangsa lain yang lebih maju peradabannya, seperti Romawi dan Persia. Faktor geografis nampaknya menjadi salah satu kendala bangsa Arab untuk maju. Namun sebenarnya, tidak semua tanah yang berada di Jazirah Arab itu tandus, ada sebagian tanah yang subur dan melimpah sumber airnya, seperti di kawasan lembah al-Ramah yang berada di wilayah dataran tinggi Najd.",what,Apa kawasan di Jazirah Arab yang memiliki tanah subur dan melimpah sumber airnya?,gunung Hijaz,gurun Rub' al-Khali,lembah al-Ramah,oasis Madinah,lembah Yaman,C
248,32,Pendidikan Karakter - Ketulusan hati atau kejujuran (honesty) (1),1575,"Keluarga Yasir adalah teladan umat. Yasir, Sumayah (istri Yasir) dan Ammar (anak Yasir) memiliki andil cukup besar bagi perjalanan dakwah Islam. Mereka telah mendapat siksaan, yang menurut ukuran manusia amatlah mustahil untuk tetap istiqamah, yaitu ketika majikannya (keluarga Bani Makhzum) mengetahui bahwa keluarga Yasir masuk Islam, kemudian menimpakan berbagai siksaan amat pedih kepada keluarga tersebut. Dipaksanya keluarga itu untuk keluar dari Islam, dan kembali kepada agama berhala yang penuh kekufuran. Suatu hari, di saat matahari padang pasir tengah membara, di sebuah lapangan terbuka di kawasan kota Mekkah, satu keluarga itu tengah menerima siksaan tidak terperikan. Berhari-hari lamanya siksaan itu telah mereka derita. Tatkala Rasulullah Saw berlalu dari hadapan keluarga itu, tiba-tiba terdengarlah rintihan Yasir dalam keadaan terbelenggu kedua tangan dan kakinya, ""Adakah derita ini sepanjang masa?"" Segera Rasulullah menengadah ke langit seraya berseru, ""Wahai keluarga Yasir, bersabarlah. Bergembiralah kamu. Sesungguhnya surga telah dipersiapkan sebagai tempat kembali keluargamu."" Mendengar seruan Rasulullah tersebut, keluarga Yasir menjadi tenteram jiwanya dan menjadi tabah dalam menghadapi ujian. Walaupun keluarga mereka mendapat ancaman dari berbagai pihak mereka tetap teguh dalam keislamannya. Abu Jahal menjadi salah satu orang yang sangat gencar menekan keluarga Yasir. Dia mengancam keluarga itu untuk memilih antara mati akibat keislamannya atau kembali hidup tentram dengan syarat meninggalkan agama Islam dan kembali menyembah berhala.",who,Siapakah keluarga teladan umat islam yang memiliki kejujuran dalam menghadapi siksaan yang pedih karena keyakinan agama mereka?,Keluarga Salman,Keluarga Fathimah,Keluarga Yasir,Keluarga Khadijah,Keluarga Ammar,C
249,32,Pendidikan Karakter - Ketulusan hati atau kejujuran (honesty) (1),1575,"Keluarga Yasir adalah teladan umat. Yasir, Sumayah (istri Yasir) dan Ammar (anak Yasir) memiliki andil cukup besar bagi perjalanan dakwah Islam. Mereka telah mendapat siksaan, yang menurut ukuran manusia amatlah mustahil untuk tetap istiqamah, yaitu ketika majikannya (keluarga Bani Makhzum) mengetahui bahwa keluarga Yasir masuk Islam, kemudian menimpakan berbagai siksaan amat pedih kepada keluarga tersebut. Dipaksanya keluarga itu untuk keluar dari Islam, dan kembali kepada agama berhala yang penuh kekufuran. Suatu hari, di saat matahari padang pasir tengah membara, di sebuah lapangan terbuka di kawasan kota Mekkah, satu keluarga itu tengah menerima siksaan tidak terperikan. Berhari-hari lamanya siksaan itu telah mereka derita. Tatkala Rasulullah Saw berlalu dari hadapan keluarga itu, tiba-tiba terdengarlah rintihan Yasir dalam keadaan terbelenggu kedua tangan dan kakinya, ""Adakah derita ini sepanjang masa?"" Segera Rasulullah menengadah ke langit seraya berseru, ""Wahai keluarga Yasir, bersabarlah. Bergembiralah kamu. Sesungguhnya surga telah dipersiapkan sebagai tempat kembali keluargamu."" Mendengar seruan Rasulullah tersebut, keluarga Yasir menjadi tenteram jiwanya dan menjadi tabah dalam menghadapi ujian. Walaupun keluarga mereka mendapat ancaman dari berbagai pihak mereka tetap teguh dalam keislamannya. Abu Jahal menjadi salah satu orang yang sangat gencar menekan keluarga Yasir. Dia mengancam keluarga itu untuk memilih antara mati akibat keislamannya atau kembali hidup tentram dengan syarat meninggalkan agama Islam dan kembali menyembah berhala.",who,Siapa saja anggota keluarga Yasir yang mendapatkan siksaan berat dan menghadapi ancaman dari Abu Jahal karena keislaman mereka?,"Yasir, Sumayah (istri Yasir) dan Ammar (anak Yasir)",Sumayah (istri Yasir) dan Ammar (anak Yasir) saja,Yasir saja,tidak diketahui,tidak ada yang disiksa,A
250,32,Pendidikan Karakter - Ketulusan hati atau kejujuran (honesty) (1),1575,"Keluarga Yasir adalah teladan umat. Yasir, Sumayah (istri Yasir) dan Ammar (anak Yasir) memiliki andil cukup besar bagi perjalanan dakwah Islam. Mereka telah mendapat siksaan, yang menurut ukuran manusia amatlah mustahil untuk tetap istiqamah, yaitu ketika majikannya (keluarga Bani Makhzum) mengetahui bahwa keluarga Yasir masuk Islam, kemudian menimpakan berbagai siksaan amat pedih kepada keluarga tersebut. Dipaksanya keluarga itu untuk keluar dari Islam, dan kembali kepada agama berhala yang penuh kekufuran. Suatu hari, di saat matahari padang pasir tengah membara, di sebuah lapangan terbuka di kawasan kota Mekkah, satu keluarga itu tengah menerima siksaan tidak terperikan. Berhari-hari lamanya siksaan itu telah mereka derita. Tatkala Rasulullah Saw berlalu dari hadapan keluarga itu, tiba-tiba terdengarlah rintihan Yasir dalam keadaan terbelenggu kedua tangan dan kakinya, ""Adakah derita ini sepanjang masa?"" Segera Rasulullah menengadah ke langit seraya berseru, ""Wahai keluarga Yasir, bersabarlah. Bergembiralah kamu. Sesungguhnya surga telah dipersiapkan sebagai tempat kembali keluargamu."" Mendengar seruan Rasulullah tersebut, keluarga Yasir menjadi tenteram jiwanya dan menjadi tabah dalam menghadapi ujian. Walaupun keluarga mereka mendapat ancaman dari berbagai pihak mereka tetap teguh dalam keislamannya. Abu Jahal menjadi salah satu orang yang sangat gencar menekan keluarga Yasir. Dia mengancam keluarga itu untuk memilih antara mati akibat keislamannya atau kembali hidup tentram dengan syarat meninggalkan agama Islam dan kembali menyembah berhala.",what,Bagaimana keluarga Yasir merespons siksaan dan ancaman yang mereka terima sebagai konsekuensi dari keislaman mereka?,mempertimbangkan pindah ke tempat yang lebih aman,melapor kepada pihak berwenang untuk mendapatkan perlindungan,keluar dari Islam,mereka memilih untuk menghindarinya,tetap teguh dalam keislamannya,E
